exact_source_key,left_concurrency,right_concurrency,left_record_count,right_record_count,left_source_trace_id,left_source_outer_idx,left_source_inner_idx,left_source_outer_idx_exact_key_normalized,left_source_inner_idx_exact_key_normalized,left_source_request_index,left_source_conversation_path,right_source_conversation_path,left_source_branch_type,right_source_branch_type,left_turn_index,right_turn_index,source_path_validation,turn_index_validation,match_validation_status,left_benchmark_phase,right_benchmark_phase,left_input_sequence_length,right_input_sequence_length,left_source_input_tokens,right_source_input_tokens,left_output_tokens,right_output_tokens,same_output_length,left_ttft_ms,right_ttft_ms,ttft_ratio_right_over_left,left_itl_ms,right_itl_ms,itl_ratio_right_over_left,left_decode_tps,right_decode_tps,decode_tps_ratio_right_over_left,left_e2e_ms,right_e2e_ms,e2e_ratio_right_over_left,strict_ttft_subset,strict_decode_subset,matching_method
07dd40536557a1d6440a923557c3129dc929|8|11,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,8.0,11.0,8.0,11.0,19.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,subagent,11.0,11.0,match,match,high_confidence_exact,profiling,profiling,96488.0,96487.0,96448.0,96448.0,293.0,293.0,True,70141.215556,1855.388003,0.02645217919724642,11.468930585616437,10.819518078767123,0.9433763678312114,87.19208757389576,92.42555839547609,1.0600223135745537,73490.143287,5014.687282,0.0682361886602427,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|8|12,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,8.0,12.0,8.0,12.0,20.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,subagent,12.0,12.0,match,match,high_confidence_exact,profiling,profiling,97579.0,97578.0,97536.0,97536.0,265.0,265.0,True,3925.7493719999998,9145.944081,2.3297320369538865,12.202551333333334,13.659450484848485,1.1193929950972945,81.95007524929076,73.2093872377394,0.8933413058503933,7147.222924,12752.039009,1.78419494460979,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|8|13,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,8.0,13.0,8.0,13.0,21.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,subagent,13.0,13.0,match,match,high_confidence_exact,profiling,profiling,99182.0,99181.0,99136.0,99136.0,237.0,237.0,True,948.767041,2650.7327109999997,2.7938709888215856,11.529347894067795,10.668598271186442,0.9253427313678134,86.73517437309103,93.73302608092217,1.0806806668506816,3669.693144,5168.521903,1.40843435682098,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|8|14,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,8.0,14.0,8.0,14.0,22.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,subagent,14.0,14.0,match,match,high_confidence_exact,profiling,profiling,99506.0,99505.0,99456.0,99456.0,405.0,405.0,True,1013.909806,2315.1389249999997,2.2833775857573664,11.438017900990099,10.426915245049504,0.9116015847594475,87.42773517721439,95.90564193708015,1.0969704492822696,5634.869038,6527.612684,1.1584320132339516,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|8|15,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,8.0,15.0,8.0,15.0,23.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,subagent,15.0,15.0,match,match,high_confidence_exact,profiling,profiling,100981.0,100980.0,100928.0,100928.0,318.0,318.0,True,925.1725379999999,1445.639351,1.5625618915636255,11.385293785488958,10.473884400630915,0.9199485404566659,87.832603957444,95.47556205028987,1.0870173232772307,4534.310668,4765.8607059999995,1.0510662049766721,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|8|16,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,8.0,16.0,8.0,16.0,24.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,subagent,16.0,16.0,match,match,high_confidence_exact,profiling,profiling,101752.0,101751.0,101696.0,101696.0,368.0,368.0,True,945.095322,1405.18033,1.486813337543956,11.667177920980926,10.456287970027248,0.8962139808654026,85.71052972473436,95.63623370611838,1.115804954341796,5226.949619,5242.6380149999995,1.0030014438905193,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|8|17,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,8.0,17.0,8.0,17.0,25.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,subagent,17.0,17.0,match,match,high_confidence_exact,profiling,profiling,102652.0,102651.0,102592.0,102592.0,280.0,280.0,True,930.0515439999999,1413.822046,1.5201545066194742,10.750934397849463,10.829253799283153,1.0072848925065858,93.01517086738365,92.34246592929564,0.9927677933415064,3929.5622409999996,4435.183856,1.1286712320584924,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|8|18,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,8.0,18.0,8.0,18.0,26.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,subagent,18.0,18.0,match,match,high_confidence_exact,profiling,profiling,103743.0,103742.0,103680.0,103680.0,393.0,393.0,True,1047.0677739999999,1404.780065,1.3416324137581568,12.360007846938775,10.743244528061224,0.8691939892839164,80.90609750281605,93.08174987435241,1.150491158853788,5892.19085,5616.13192,0.9531483387032516,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|8|19,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,8.0,19.0,8.0,19.0,27.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,subagent,19.0,19.0,match,match,high_confidence_exact,profiling,profiling,104514.0,104513.0,104448.0,104448.0,328.0,328.0,True,1899.278601,17829.765543999998,9.387651466515942,10.478475501529052,10.592176434250764,1.010850904094314,95.43372982587752,94.4093035276876,0.9892655741312948,5325.740089999999,21293.407238,3.998206235783467,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|8|2,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,8.0,2.0,8.0,2.0,10.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,subagent,2.0,2.0,match,match,high_confidence_exact,profiling,profiling,39504.0,39503.0,39488.0,39488.0,209.0,209.0,True,797.43679,917.273817,1.1502777756215636,10.695588697115383,10.286054125,0.961709955037273,93.49648984442544,97.21901011287942,1.0398145457080592,3022.1192389999997,3056.773075,1.0114667335268568,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
