timestamp_ns,event_type,event_order_at_timestamp,row_position,delta,root_delta,subagent_delta,unknown_branch_delta,inflight_after_event,root_inflight,subagent_inflight,unknown_branch_inflight,profiling_inflight
1786167054537916672,end,0,78,-1,-1,0,0,6,4,2,0,6
1786167054538295296,end,0,79,-1,-1,0,0,5,3,2,0,5
1786167058540551168,start,0,81,1,1,0,0,6,4,2,0,6
1786167058794680064,end,0,80,-1,0,-1,0,5,4,1,0,5
1786167059507861760,start,0,89,1,0,1,0,6,4,2,0,6
1786167060333074432,end,0,81,-1,-1,0,0,5,3,2,0,5
1786167062205049856,start,0,84,1,0,1,0,6,3,3,0,6
1786167063717637888,end,0,82,-1,0,-1,0,5,3,2,0,5
1786167065522389248,end,0,83,-1,-1,0,0,4,2,2,0,4
1786167065743230720,end,0,84,-1,0,-1,0,3,2,1,0,3
1786167066320239616,start,0,86,1,0,1,0,4,2,2,0,4
1786167066420828416,start,0,85,1,0,1,0,5,2,3,0,5
1786167067445746432,start,0,88,1,1,0,0,6,3,3,0,6
1786167069580663040,end,0,85,-1,0,-1,0,5,3,2,0,5
1786167070308844032,start,0,93,1,0,1,0,6,3,3,0,6
1786167071938326016,end,0,86,-1,0,-1,0,5,3,2,0,5
1786167074290409984,start,0,90,1,0,1,0,6,3,3,0,6
1786167074612637952,end,0,87,-1,-1,0,0,5,2,3,0,5
1786167076330058752,start,0,95,1,1,0,0,6,3,3,0,6
1786167077315246080,end,0,88,-1,-1,0,0,5,2,3,0,5
1786167077515721216,end,0,89,-1,0,-1,0,4,2,2,0,4
1786167078319681536,end,0,90,-1,0,-1,0,3,2,1,0,3
1786167078731247616,start,0,91,1,0,1,0,4,2,2,0,4
1786167079206960640,start,0,122,1,1,0,0,5,3,2,0,5
1786167080898908672,start,0,92,1,0,1,0,6,3,3,0,6
1786167082358962176,end,0,91,-1,0,-1,0,5,3,2,0,5
1786167084355420928,start,0,94,1,1,0,0,6,4,2,0,6
1786167084715748608,end,0,92,-1,0,-1,0,5,4,1,0,5
1786167084813760512,end,0,93,-1,0,-1,0,4,4,0,0,4
1786167087225200128,start,0,102,1,0,1,0,5,4,1,0,5
1786167088246480384,end,0,94,-1,-1,0,0,4,3,1,0,4
1786167092470051840,end,0,95,-1,-1,0,0,3,2,1,0,3
1786167093810227456,start,0,99,1,1,0,0,4,3,1,0,4
1786167095387981312,end,0,96,-1,-1,0,0,3,2,1,0,3
1786167095735474944,start,0,97,1,1,0,0,4,3,1,0,4
1786167097535405568,start,0,98,1,1,0,0,5,4,1,0,5
1786167098043851776,end,0,97,-1,-1,0,0,4,3,1,0,4
1786167099091223552,start,0,103,1,1,0,0,5,4,1,0,5
1786167101241169408,start,0,100,1,0,1,0,6,4,2,0,6
1786167101950741248,start,0,101,1,1,0,0,7,5,2,0,7
1786167104290650624,end,0,98,-1,-1,0,0,6,4,2,0,6
1786167106019849984,start,0,106,1,1,0,0,7,5,2,0,7
1786167108116676352,end,0,99,-1,-1,0,0,6,4,2,0,6
1786167109416434432,start,0,105,1,1,0,0,7,5,2,0,7
1786167111935144448,end,0,100,-1,0,-1,0,6,5,1,0,6
1786167112679263232,start,0,104,1,0,1,0,7,5,2,0,7
1786167113593927168,end,0,101,-1,-1,0,0,6,4,2,0,6
1786167114204771328,end,0,102,-1,0,-1,0,5,4,1,0,5
1786167115099446272,end,0,103,-1,-1,0,0,4,3,1,0,4
1786167115757199360,end,0,104,-1,0,-1,0,3,3,0,0,3
1786167117062723328,end,0,105,-1,-1,0,0,2,2,0,0,2
1786167117636604416,start,0,116,1,0,1,0,3,2,1,0,3
1786167118382315520,start,0,126,1,1,0,0,4,3,1,0,4
1786167124990118912,end,0,106,-1,-1,0,0,3,2,1,0,3
1786167126880915200,start,0,107,1,1,0,0,4,3,1,0,4
1786167127647954176,start,0,108,1,0,1,0,5,3,2,0,5
1786167130191336704,end,0,107,-1,-1,0,0,4,2,2,0,4
1786167130507465728,end,0,108,-1,0,-1,0,3,2,1,0,3
1786167130910224896,start,0,109,1,0,1,0,4,2,2,0,4
1786167132106540032,start,0,111,1,1,0,0,5,3,2,0,5
1786167133245014528,end,0,109,-1,0,-1,0,4,3,1,0,4
1786167133587524608,start,0,110,1,0,1,0,5,3,2,0,5
1786167137031715840,end,0,110,-1,0,-1,0,4,3,1,0,4
1786167137367448064,start,0,112,1,0,1,0,5,3,2,0,5
1786167138565037568,start,0,113,1,1,0,0,6,4,2,0,6
1786167139147501824,end,0,111,-1,-1,0,0,5,3,2,0,5
1786167139791062016,end,0,112,-1,0,-1,0,4,3,1,0,4
1786167140198764800,start,0,114,1,0,1,0,5,3,2,0,5
1786167140783503872,end,0,113,-1,-1,0,0,4,2,2,0,4
1786167140965345280,start,0,115,1,1,0,0,5,3,2,0,5
1786167142725115136,end,0,114,-1,0,-1,0,4,3,1,0,4
1786167143222378240,end,0,115,-1,-1,0,0,3,2,1,0,3
1786167143324477696,start,0,125,1,0,1,0,4,2,2,0,4
1786167145000663552,start,0,127,1,1,0,0,5,3,2,0,5
1786167176360915712,end,0,116,-1,0,-1,0,4,3,1,0,4
1786167179462987776,start,0,118,1,0,1,0,5,3,2,0,5
1786167182073964800,start,0,117,1,1,0,0,6,4,2,0,6
1786167202153100288,end,0,117,-1,-1,0,0,5,3,2,0,5
1786167221064050176,end,0,118,-1,0,-1,0,4,3,1,0,4
1786167224125088256,start,0,121,1,0,1,0,5,3,2,0,5
1786167244938070784,start,0,119,1,1,0,0,6,4,2,0,6
1786167247116087040,end,0,119,-1,-1,0,0,5,3,2,0,5
1786167256369436928,start,0,120,1,1,0,0,6,4,2,0,6
1786167261666993408,end,0,120,-1,-1,0,0,5,3,2,0,5
1786167262329218304,start,0,135,1,1,0,0,6,4,2,0,6
1786167287149455616,end,0,121,-1,0,-1,0,5,4,1,0,5
1786167288243854336,start,0,123,1,0,1,0,6,4,2,0,6
1786167288758593536,start,0,124,1,1,0,0,7,5,2,0,7
1786167289291367424,end,0,122,-1,-1,0,0,6,4,2,0,6
1786167290635533568,end,0,123,-1,0,-1,0,5,4,1,0,5
1786167290974193920,end,0,124,-1,-1,0,0,4,3,1,0,4
1786167291448490752,start,0,130,1,1,0,0,5,4,1,0,5
1786167292100824320,end,0,125,-1,0,-1,0,4,4,0,0,4
1786167292544264192,end,0,126,-1,-1,0,0,3,3,0,0,3
1786167292758704128,start,0,128,1,0,1,0,4,3,1,0,4
1786167293828986368,start,0,137,1,1,0,0,5,4,1,0,5
1786167295149022976,end,0,127,-1,-1,0,0,4,3,1,0,4
1786167297023507968,start,0,143,1,0,1,0,5,3,2,0,5
1786167297065044736,start,0,129,1,1,0,0,6,4,2,0,6
1786167301033817088,end,0,128,-1,0,-1,0,5,4,1,0,5
1786167301526313984,end,0,129,-1,-1,0,0,4,3,1,0,4
1786167301690412288,start,0,131,1,0,1,0,5,3,2,0,5
1786167302775722752,end,0,130,-1,-1,0,0,4,2,2,0,4
1786167303401720576,end,0,131,-1,0,-1,0,3,2,1,0,3
1786167303430256896,start,0,133,1,1,0,0,4,3,1,0,4
1786167304045638400,start,0,132,1,0,1,0,5,3,2,0,5
1786167305425181440,start,0,139,1,1,0,0,6,4,2,0,6
1786167305745338112,end,0,132,-1,0,-1,0,5,4,1,0,5
1786167306002298880,end,0,133,-1,-1,0,0,4,3,1,0,4
1786167306392145920,start,0,134,1,0,1,0,5,3,2,0,5
1786167307852327680,start,0,138,1,1,0,0,6,4,2,0,6
1786167307962981376,end,0,134,-1,0,-1,0,5,4,1,0,5
1786167308631032576,start,0,136,1,0,1,0,6,4,2,0,6
1786167309056274432,end,0,135,-1,-1,0,0,5,3,2,0,5
1786167309729740544,start,0,154,1,1,0,0,6,4,2,0,6
1786167310809508096,start,0,148,1,1,0,0,7,5,2,0,7
1786167311150300160,end,0,136,-1,0,-1,0,6,5,1,0,6
1786167311652492800,end,0,137,-1,-1,0,0,5,4,1,0,5
1786167311830895360,start,0,140,1,0,1,0,6,4,2,0,6
1786167311981814272,end,0,138,-1,-1,0,0,5,3,2,0,5
1786167312835715840,end,0,139,-1,-1,0,0,4,2,2,0,4
1786167312982482176,start,0,165,1,1,0,0,5,3,2,0,5
1786167313673491968,end,0,140,-1,0,-1,0,4,3,1,0,4
1786167314408070400,start,0,141,1,0,1,0,5,3,2,0,5
1786167314801414656,start,0,142,1,1,0,0,6,4,2,0,6
1786167315340339200,start,0,158,1,1,0,0,7,5,2,0,7
1786167316455525888,end,0,141,-1,0,-1,0,6,5,1,0,6
1786167317147089408,start,0,144,1,0,1,0,7,5,2,0,7
1786167317549204736,end,0,142,-1,-1,0,0,6,4,2,0,6
1786167319071091200,end,0,143,-1,0,-1,0,5,4,1,0,5
1786167319164896512,end,0,144,-1,0,-1,0,4,4,0,0,4
1786167319498787072,start,0,146,1,1,0,0,5,5,0,0,5
1786167319882825984,start,0,145,1,0,1,0,6,5,1,0,6
1786167320224631040,start,0,162,1,0,1,0,7,5,2,0,7
1786167322910700544,end,0,145,-1,0,-1,0,6,5,1,0,6
1786167322999230976,end,0,146,-1,-1,0,0,5,4,1,0,5
1786167323598262528,start,0,147,1,0,1,0,6,4,2,0,6
1786167325667126528,start,0,149,1,1,0,0,7,5,2,0,7
1786167325699527680,end,0,147,-1,0,-1,0,6,5,1,0,6
1786167326429029376,end,0,148,-1,-1,0,0,5,4,1,0,5
1786167326439717632,start,0,150,1,0,1,0,6,4,2,0,6
1786167328432274944,end,0,149,-1,-1,0,0,5,3,2,0,5
1786167328458451200,end,0,150,-1,0,-1,0,4,3,1,0,4
1786167329157642496,start,0,151,1,0,1,0,5,3,2,0,5
1786167331031171328,start,0,155,1,1,0,0,6,4,2,0,6
1786167331049185024,start,0,160,1,1,0,0,7,5,2,0,7
1786167331157950976,end,0,151,-1,0,-1,0,6,5,1,0,6
1786167331900287744,start,0,152,1,0,1,0,7,5,2,0,7
1786167333593965056,end,0,152,-1,0,-1,0,6,5,1,0,6
1786167334397421568,start,0,153,1,0,1,0,7,5,2,0,7
1786167336474904832,end,0,153,-1,0,-1,0,6,5,1,0,6
1786167337379218176,start,0,156,1,0,1,0,7,5,2,0,7
1786167337592056832,end,0,154,-1,-1,0,0,6,4,2,0,6
1786167338770788096,end,0,155,-1,-1,0,0,5,3,2,0,5
1786167339477798912,end,0,156,-1,0,-1,0,4,3,1,0,4
1786167340265172224,start,0,157,1,0,1,0,5,3,2,0,5
1786167340971205376,start,0,163,1,1,0,0,6,4,2,0,6
1786167341872925696,end,0,157,-1,0,-1,0,5,4,1,0,5
1786167342662987776,start,0,159,1,0,1,0,6,4,2,0,6
1786167343138191104,end,0,158,-1,-1,0,0,5,3,2,0,5
1786167344274995712,end,0,159,-1,0,-1,0,4,3,1,0,4
1786167345096682240,start,0,161,1,0,1,0,5,3,2,0,5
1786167346055683584,start,0,170,1,1,0,0,6,4,2,0,6
1786167347150091520,end,0,160,-1,-1,0,0,5,3,2,0,5
1786167348117043968,end,0,161,-1,0,-1,0,4,3,1,0,4
1786167348447143680,end,0,162,-1,0,-1,0,3,3,0,0,3
1786167349017006592,start,0,164,1,0,1,0,4,3,1,0,4
1786167350723270144,end,0,163,-1,-1,0,0,3,2,1,0,3
1786167351235883520,end,0,164,-1,0,-1,0,2,2,0,0,2
1786167352074532864,start,0,166,1,0,1,0,3,2,1,0,3
1786167352110842112,start,0,174,1,0,1,0,4,2,2,0,4
1786167352585092352,start,0,167,1,1,0,0,5,3,2,0,5
