exact_source_key,source_request_index,source_outer_idx,source_inner_idx,source_conversation_path,source_branch_type,request_start_ns,request_end_ns,ttft_ms,itl_ms,e2e_ms,output_tokens,system_inflight_before_start,system_inflight_at_start,root_inflight_at_start,subagent_inflight_at_start,system_inflight_before_end,system_inflight_after_end,x_request_id
07dd40536557a1d6440a923557c3129dc929|9|17,57,9,17.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168240437376512,1786168244043711488,1107.336969,12.071857415458938,3606.211454,208.0,8,9,3,6,10,9,d92c74d8-13d3-4c4b-854c-0f6f1c7edbcd
07dd40536557a1d6440a923557c3129dc929|9|18,58,9,18.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168245524388864,1786168249554509824,1882.52832,10.791166291457285,4029.9704119999997,200.0,8,9,3,6,8,7,89bbcdbb-3812-4793-8e62-f4e9030d2efc
07dd40536557a1d6440a923557c3129dc929|9|19,59,9,19.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168251098892544,1786168255768327936,1153.8513619999999,13.521082361538461,4669.332776,261.0,7,8,3,5,9,8,b9256146-d4e6-45c9-a56b-ff7f520716e8
07dd40536557a1d6440a923557c3129dc929|9|20,60,9,20.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168257351819264,1786168261162276352,1277.1464859999999,10.732805991525424,3810.0887,237.0,9,10,4,6,8,7,3e1e39d6-5a00-4710-aad3-280f274cc0fb
07dd40536557a1d6440a923557c3129dc929|9|21,61,9,21.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168262703329280,1786168266342474752,950.085791,13.173625593137254,3637.505412,205.0,8,9,4,5,10,9,570a3362-b987-4de7-bbe9-feb562490e27
07dd40536557a1d6440a923557c3129dc929|9|22,62,9,22.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168268212083968,1786168272693098240,1411.405966,12.180349884920634,4480.854136999999,253.0,7,8,4,4,11,10,da3589d0-f753-43fb-8df5-8a891f970363
07dd40536557a1d6440a923557c3129dc929|9|23,63,9,23.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168274359331840,1786168277883925760,920.740683,10.939971268907563,3524.453845,239.0,10,11,5,6,11,10,b01d3ea3-4fa0-4c88-85fe-98eb5b55f4d7
07dd40536557a1d6440a923557c3129dc929|9|24,64,9,24.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168279446580480,1786168282241668352,947.2801979999999,12.075978209150326,2794.904864,154.0,10,11,5,6,11,10,19b8c1a4-5b98-4689-8293-20b0a8e364b1
07dd40536557a1d6440a923557c3129dc929|9|25,65,9,25.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168283920355072,1786168287214929920,931.191505,11.632196866995073,3292.5274689999997,204.0,10,11,5,6,10,9,3c333219-fc60-471c-802f-357b44580436
07dd40536557a1d6440a923557c3129dc929|9|26,66,9,26.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168288874149376,1786168291324479488,916.161622,11.363931074074074,2450.292317,136.0,7,8,2,6,9,8,4b722c1a-f920-462a-9c1c-2e03bb5dd2a0
07dd40536557a1d6440a923557c3129dc929|9|27,67,9,27.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168292992820480,1786168299006596352,4635.255572,10.437872553030303,6013.054749,133.0,7,8,2,6,7,6,fcdc9c60-b0e3-4faf-aaae-2f9f130b7f97
07dd40536557a1d6440a923557c3129dc929|8|12,20,8,12.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,1786168295013264640,1786168302162062336,3925.7493719999998,12.202551333333334,7147.222924,265.0,7,8,2,6,8,7,bda59995-4c73-4ae7-947a-b23017161a12
07dd40536557a1d6440a923557c3129dc929|9|28,68,9,28.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168300685824000,1786168304102138880,2055.366176,12.371056718181817,3416.1824149999998,111.0,7,8,2,6,7,6,92cff05d-5bd8-493d-974f-028e881f8434
07dd40536557a1d6440a923557c3129dc929|8|13,21,8,13.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,1786168303819031808,1786168307488850688,948.767041,11.529347894067795,3669.693144,237.0,6,7,2,5,8,7,b4a6a8f1-15e6-4bf0-addc-640a9b4fe719
07dd40536557a1d6440a923557c3129dc929|9|29,69,9,29.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168305702602240,1786168308413474560,967.067719,11.035392816455696,2710.659784,159.0,7,8,2,6,6,5,c001c5b3-87b5-4da7-9bc9-488abc509dc4
07dd40536557a1d6440a923557c3129dc929|8|14,22,8,14.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,1786168309238360320,1786168314873372672,1013.909806,11.438017900990099,5634.869038,405.0,6,7,2,5,8,7,0893a8f8-4959-491d-b490-3175a0019edd
07dd40536557a1d6440a923557c3129dc929|9|30,70,9,30.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168310261248768,1786168312775309312,1042.775776,12.158306231404957,2513.93083,122.0,7,8,2,6,7,6,a8efea94-aa55-4cc1-ae0b-c427e63aaa73
07dd40536557a1d6440a923557c3129dc929|9|31,71,9,31.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168314397200128,1786168318977984512,2816.6328909999997,15.881153,4579.440874,112.0,7,8,2,6,8,7,280ed088-d557-49d1-9b09-e0b0aef7faa3
07dd40536557a1d6440a923557c3129dc929|8|15,23,8,15.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,1786168316505695744,1786168321040006400,925.1725379999999,11.385293785488958,4534.310668,318.0,7,8,2,6,7,6,ed8d13d6-9406-4f10-961d-dba3e2951bf6
07dd40536557a1d6440a923557c3129dc929|9|32,72,9,32.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168320541684224,1786168322387984128,945.422968,10.852666710843373,1846.194305,84.0,6,7,1,6,6,5,fbd92815-96a8-4716-a74d-eb999f5348ff
07dd40536557a1d6440a923557c3129dc929|8|16,24,8,16.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,1786168322839948288,1786168328067016192,945.095322,11.667177920980926,5226.949619,368.0,5,6,1,5,7,6,89ecac25-ea91-41f7-a000-485d40958678
07dd40536557a1d6440a923557c3129dc929|9|33,73,9,33.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168324262337024,1786168329958022912,2378.8987779999998,12.455516545112781,5692.0661789999995,267.0,5,6,1,5,7,6,f3711ec4-d46f-41b8-8f86-03133fc8628b
07dd40536557a1d6440a923557c3129dc929|8|17,25,8,17.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,1786168328432685568,1786168332362368256,930.0515439999999,10.750934397849463,3929.5622409999996,280.0,6,7,1,6,8,7,f4979590-4865-4b81-89aa-e839d280c35e
07dd40536557a1d6440a923557c3129dc929|9|34,74,9,34.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168331544939776,1786168335077020160,1228.635644,11.687035385786801,3530.9816149999997,198.0,7,8,2,6,8,7,38070aac-c440-407f-b84f-dc1177ecc064
07dd40536557a1d6440a923557c3129dc929|8|18,26,8,18.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,1786168334208828672,1786168340101164800,1047.0677739999999,12.360007846938775,5892.19085,393.0,7,8,2,6,8,7,5e6ce395-1a36-4778-b6d7-7171f9bbe001
07dd40536557a1d6440a923557c3129dc929|9|35,75,9,35.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168336660945920,1786168339223236096,1080.569611,10.659074273381295,2562.180935,140.0,8,9,3,6,9,8,03b42993-3de2-499c-86cf-0b8af2a76c97
07dd40536557a1d6440a923557c3129dc929|9|36,76,9,36.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168340987452928,1786168344287285760,2186.22357,10.810326155339805,3299.687164,104.0,5,6,2,4,7,6,f9958ebd-b83b-407e-b62f-0b99fb9bb8a9
07dd40536557a1d6440a923557c3129dc929|8|19,27,8,19.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,1786168341943521024,1786168347269360896,1899.278601,10.478475501529052,5325.740089999999,328.0,7,8,2,6,7,6,2d4a4656-d27d-45ad-b5c1-b1b743071a72
07dd40536557a1d6440a923557c3129dc929|9|37,77,9,37.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168346108127488,1786168349353891072,987.949994,10.599039938967136,3245.545501,214.0,6,7,1,6,8,7,ba65e5b2-3c3a-4d59-9b73-c2bf2db7ff46
07dd40536557a1d6440a923557c3129dc929|8|20,28,8,20.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,1786168348970992896,1786168353540650240,1015.022979,10.515600923076924,4569.296091,339.0,6,7,2,5,5,4,9cd491f2-ff51-4965-a31a-80c402c5dcc0
07dd40536557a1d6440a923557c3129dc929|9|38,78,9,38.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168350996275456,1786168353597682432,973.61777,11.880877350364962,2601.297967,138.0,7,8,2,6,4,3,1f96af72-952a-404f-9361-5d42f93de672
07dd40536557a1d6440a923557c3129dc929|9|39,79,9,39.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168355275274496,1786168360102782720,1477.739748,10.600030439873418,4827.349367,317.0,4,5,1,4,7,6,bff6dd3f-6d05-4623-89fd-83fcb9160574
07dd40536557a1d6440a923557c3129dc929|8|21,29,8,21.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,1786168355360664832,1786168360115517184,1446.341745,12.026581767272727,4753.651731,276.0,5,6,1,5,6,5,371987f8-854e-4d8e-96ac-3a345c1dd34e
