concurrency,root_trace_id,conversation_id,source_outer_idx,source_inner_idx,turn_index,worker_id,input_sequence_length,logical_prompt_tokens,cache_read_tokens,new_prompt_tokens,output_tokens,ttft_ms,itl_ms,e2e_ms,match_class
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,105,,99,worker_775bd273,1.0,,479360.0,,1.0,2177.646828,,2177.646828,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,106,,100,worker_775bd273,1.0,,481856.0,,1.0,2215.455509,,2215.455509,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,107,,101,worker_775bd273,1.0,,485120.0,,1.0,16100.75188,,16100.75188,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,108,,102,worker_775bd273,1.0,,425920.0,,1.0,6472.016366,,6472.016366,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,109,,103,worker_775bd273,1.0,,489536.0,,1.0,2804.3459479999997,,2804.3459479999997,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,110,,104,worker_775bd273,1.0,,491200.0,,1.0,2142.335802,,2142.335802,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,111,,105,worker_775bd273,1.0,,43008.0,,1.0,26738.302894,,26738.302894,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,112,,106,worker_775bd273,1.0,,495680.0,,1.0,2263.626229,,2263.626229,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,113,,107,worker_775bd273,1.0,,495680.0,,1.0,15752.028202,,15752.028202,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,114,,108,worker_775bd273,1.0,,500800.0,,1.0,2126.8238969999998,,2126.8238969999998,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,115,,109,worker_775bd273,1.0,,131008.0,,1.0,22446.458521,,22446.458521,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,116,,110,worker_775bd273,1.0,,503616.0,,1.0,2191.8719849999998,,2191.8719849999998,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,117,,111,worker_775bd273,1.0,,507072.0,,1.0,2138.080348,,2138.080348,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,118,,112,worker_775bd273,1.0,,512960.0,,1.0,2384.4540669999997,,2384.4540669999997,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,119,,113,worker_775bd273,1.0,,196480.0,,1.0,21691.753386,,21691.753386,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,120,,114,worker_775bd273,1.0,,516672.0,,1.0,2179.349166,,2179.349166,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,121,,115,worker_775bd273,1.0,,141248.0,,1.0,24199.828923999998,,24199.828923999998,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,122,,116,worker_775bd273,1.0,,518016.0,,1.0,2456.577997,,2456.577997,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,123,,117,worker_775bd273,1.0,,519616.0,,1.0,2622.918343,,2622.918343,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,124,,118,worker_775bd273,1.0,,294720.0,,1.0,16381.397758,,16381.397758,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,125,,119,worker_775bd273,1.0,,403328.0,,1.0,27388.409174,,27388.409174,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,126,,120,worker_775bd273,1.0,,491264.0,,1.0,4563.20234,,4563.20234,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,127,,121,worker_775bd273,1.0,,436032.0,,1.0,13545.783507,,13545.783507,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,128,,122,worker_775bd273,1.0,,530560.0,,1.0,2303.7397109999997,,2303.7397109999997,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,129,,123,worker_775bd273,1.0,,533120.0,,1.0,7060.860052999999,,7060.860052999999,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,130,,124,worker_775bd273,1.0,,,,1.0,34463.388890999995,,34463.388890999995,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,131,,125,worker_775bd273,1.0,,,,1.0,31969.219133,,31969.219133,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,132,,126,worker_775bd273,1.0,,393152.0,,1.0,13028.372414,,13028.372414,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,133,,127,worker_775bd273,1.0,,542336.0,,1.0,2370.280876,,2370.280876,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,134,,128,worker_775bd273,1.0,,491392.0,,1.0,5639.384833,,5639.384833,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,135,,129,worker_775bd273,1.0,,,,1.0,31462.902933999998,,31462.902933999998,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,136,,130,worker_775bd273,1.0,,65472.0,,1.0,28160.342393,,28160.342393,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,137,,131,worker_775bd273,1.0,,458624.0,,1.0,9450.99942,,9450.99942,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,138,,132,worker_775bd273,1.0,,552000.0,,1.0,2383.045498,,2383.045498,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,139,,133,worker_775bd273,1.0,,554240.0,,1.0,2373.187618,,2373.187618,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,140,,134,worker_775bd273,1.0,,,,1.0,31134.196049,,31134.196049,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,141,,135,worker_775bd273,1.0,,393152.0,,1.0,12415.246976999999,,12415.246976999999,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,142,,136,worker_775bd273,1.0,,458624.0,,1.0,10924.378455,,10924.378455,loader_metadata_turn_match
