concurrency,root_trace_id,source_trace_id,source_outer_idx,source_inner_idx,source_outer_idx_exact_key_normalized,source_inner_idx_exact_key_normalized,source_request_index,source_conversation_path,source_branch_type,source_branch_request_index,conversation_id,session_num,turn_index,benchmark_phase,request_start_ns,request_ack_ns,request_end_ns,raw_record_ordinal,execution_ordinal_all_0_based,execution_ordinal_all_1_based,execution_ordinal_profile_0_based,execution_ordinal_profile_1_based,execution_ordinal_within_root_0_based,execution_ordinal_within_root_1_based,execution_ordinal_within_branch_0_based,execution_ordinal_within_branch_1_based,worker_id,input_sequence_length,usage_prompt_tokens,source_input_tokens,source_output_tokens,logical_prompt_tokens,logical_prompt_metric_status,cache_read_tokens,cache_read_metric_status,output_tokens,ttft_ms,itl_ms,decode_tps,e2e_ms,exact_source_key,error,cancelled,is_profiled_valid
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,9,4.0,9,4,44,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,4,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,372,4,profiling,1786168150184329984,1786168150340670464,1786168153359179520,459,20,21,20,21,20,21,4,5,worker_52cdd4a9,47637.0,47637.0,47616,219,,not_exported_or_not_mapped,38784.0,profile_counter_scope_unvalidated,219.0,829.389859,10.758505573394496,92.94971250216888,3174.7440739999997,07dd40536557a1d6440a923557c3129dc929|9|4,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,8,6.0,8,6,14,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,373,6,profiling,1786168151725042688,1786168151981814016,1786168155403269120,461,21,22,21,22,21,22,6,7,worker_52cdd4a9,62368.0,62368.0,62336,200,,not_exported_or_not_mapped,57408.0,profile_counter_scope_unvalidated,200.0,1593.6717409999999,10.47453669849246,95.46961634531523,3678.104544,07dd40536557a1d6440a923557c3129dc929|8|6,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,10,2.0,10,2,104,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,2,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,374,2,profiling,1786168152077411584,1786168152225324544,1786168154860472832,460,22,23,22,23,22,23,2,3,worker_52cdd4a9,48005.0,48005.0,48000,138,,not_exported_or_not_mapped,30080.0,profile_counter_scope_unvalidated,138.0,1312.0290169999998,10.7365610729927,93.13969279376165,2782.937884,07dd40536557a1d6440a923557c3129dc929|10|2,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,9,5.0,9,5,45,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,5,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,375,5,profiling,1786168154352782080,1786168154520599040,1786168157393906176,462,23,24,23,24,23,24,5,6,worker_52cdd4a9,51989.0,51989.0,51968,222,,not_exported_or_not_mapped,47616.0,profile_counter_scope_unvalidated,222.0,766.5245639999999,10.291791438914027,97.16481391363274,3041.010472,07dd40536557a1d6440a923557c3129dc929|9|5,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,10,3.0,10,3,105,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,3,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,376,3,profiling,1786168157796403456,1786168158044429568,1786168162871544064,463,24,25,24,25,24,25,3,4,worker_52cdd4a9,66441.0,66441.0,66432,139,,not_exported_or_not_mapped,33216.0,profile_counter_scope_unvalidated,139.0,3603.6273079999996,10.655618956521737,93.84719968688006,5074.102723999999,07dd40536557a1d6440a923557c3129dc929|10|3,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,9,6.0,9,6,46,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,377,6,profiling,1786168158395809024,1786168158565716224,1786168163690841600,465,25,26,25,26,25,26,6,7,worker_52cdd4a9,53145.0,53145.0,53120,219,,not_exported_or_not_mapped,51968.0,profile_counter_scope_unvalidated,219.0,2978.89506,10.623979,94.12669208024602,5294.922482,07dd40536557a1d6440a923557c3129dc929|9|6,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,8,7.0,8,7,15,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,7,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,378,7,profiling,1786168159672117760,1786168159880026880,1786168162998421248,464,26,27,26,27,26,27,7,8,worker_52cdd4a9,67809.0,67809.0,67776,145,,not_exported_or_not_mapped,39488.0,profile_counter_scope_unvalidated,145.0,1806.057681,10.5556995,94.73555021152318,3326.0784089999997,07dd40536557a1d6440a923557c3129dc929|8|7,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,10,4.0,10,4,106,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,4,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,380,4,profiling,1786168164192743936,1786168164444376832,1786168167996135680,467,27,28,27,28,27,28,4,5,worker_52cdd4a9,71241.0,71241.0,71232,229,,not_exported_or_not_mapped,48000.0,profile_counter_scope_unvalidated,229.0,1432.965809,10.395934942982455,96.19144458719683,3803.2389759999996,07dd40536557a1d6440a923557c3129dc929|10|4,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,8,8.0,8,8,16,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,8,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,381,8,profiling,1786168164331244288,1786168164969179904,1786168207088642560,486,28,29,28,29,28,29,8,9,worker_52cdd4a9,83166.0,83166.0,83136,142,,not_exported_or_not_mapped,62336.0,profile_counter_scope_unvalidated,142.0,41283.290926999995,10.453515921985815,95.6615943824988,42757.236672,07dd40536557a1d6440a923557c3129dc929|8|8,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,9,7.0,9,7,47,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,7,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,382,7,profiling,1786168164843596032,1786168165015808000,1786168168094538752,468,29,30,29,30,29,30,7,8,worker_52cdd4a9,54936.0,54936.0,54912,227,,not_exported_or_not_mapped,53120.0,profile_counter_scope_unvalidated,227.0,814.6512409999999,10.779368853982302,92.7698099532574,3250.7886019999996,07dd40536557a1d6440a923557c3129dc929|9|7,False,False,True
