request_identity_key,root_trace_id,source_trace_id,source_outer_idx,source_inner_idx,source_conversation_path,source_branch_type,exact_source_key,session_num,turn_index,request_start_ns,request_ack_ns,request_end_ns,ttft_ms,itl_ms,e2e_ms,output_tokens,worker_id,x_request_id,interval_valid,branch_concurrency_group,system_inflight_before_start,system_inflight_at_start,root_inflight_at_start,subagent_inflight_at_start,system_inflight_before_end,system_inflight_after_end
31235207041|8|9017979109|21|05f72f78a037cfa5cd4e4541960a574701d9|9|1786166863298402560|108,05f72f78a037cfa5cd4e4541960a574701d9,05f72f78a037cfa5cd4e4541960a574701d9,9,,05f72f78a037cfa5cd4e4541960a574701d9,root,05f72f78a037cfa5cd4e4541960a574701d9|9|-1,21,9,1786166863298402560,1786166863821538560,1786166867102931200,1112.5112769999998,15.38227313142857,3804.409075,176.0,worker_6e24a6ae,9b3b7fda-19c4-458c-8858-3b0badb5da2d,True,root,1,2,2,0,3,2
31235207041|8|9017979109|22|05c249572509162371b7b82339674db64b5d::aux:000|0|1786166866957543936|109,05c249572509162371b7b82339674db64b5d,05c249572509162371b7b82339674db64b5d,19,,05c249572509162371b7b82339674db64b5d,root,05c249572509162371b7b82339674db64b5d|19|-1,22,0,1786166866957543936,1786166866975019776,1786166879003407872,584.6932489999999,10.691276611940298,12045.741777,1073.0,worker_29a49ec4,35781683-aebb-4a6b-acc7-cf2ab8e2aaaa,True,root,2,3,3,0,3,2
31235207041|8|9017979109|23|05f72f78a037cfa5cd4e4541960a574701d9|10|1786166868048738048|110,05f72f78a037cfa5cd4e4541960a574701d9,05f72f78a037cfa5cd4e4541960a574701d9,10,,05f72f78a037cfa5cd4e4541960a574701d9,root,05f72f78a037cfa5cd4e4541960a574701d9|10|-1,23,10,1786166868048738048,1786166868298912000,1786166879478908928,896.889961,10.704444281504065,11430.063134,985.0,worker_6e24a6ae,46f5a2c1-57a6-4bf1-a2db-ad499fdb19b1,True,root,2,3,3,0,2,1
31235207041|8|9017979109|20|05c249572509162371b7b82339674db64b5d|18|1786166853925576192|111,05c249572509162371b7b82339674db64b5d,05c249572509162371b7b82339674db64b5d,18,,05c249572509162371b7b82339674db64b5d,root,05c249572509162371b7b82339674db64b5d|18|-1,20,18,1786166853925576192,1786166854403469312,1786166886846120960,2851.860244,10.85504108231047,32920.324042,2771.0,worker_29a49ec4,ce2e3e2a-cc6e-4076-b961-2a195916ce61,True,root,0,1,1,0,2,1
31235207041|8|9017979109|28|0196085d85d2075a50b74cd8795ffbdcea9a|92|1786166893664163584|112,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,98,,0196085d85d2075a50b74cd8795ffbdcea9a,root,0196085d85d2075a50b74cd8795ffbdcea9a|98|-1,28,92,1786166893664163584,1786166895216478208,1786166895921499904,2257.191532,,2257.191532,1.0,worker_775bd273,dff401ae-6c62-4140-bdbc-86161d04b2f4,True,root,5,6,6,0,7,6
31235207041|8|9017979109|29|03e110ac6921c2fe9ac7772a9654314a2beb|29|1786166893664027392|113,03e110ac6921c2fe9ac7772a9654314a2beb,03e110ac6921c2fe9ac7772a9654314a2beb,34,,03e110ac6921c2fe9ac7772a9654314a2beb,root,03e110ac6921c2fe9ac7772a9654314a2beb|34|-1,29,29,1786166893664027392,1786166894694502400,1786166896228781824,2564.61221,,2564.61221,1.0,worker_e00f4dfb,005569fd-ed74-4ea1-964c-6d2ba635bb96,True,root,4,5,5,0,6,5
31235207041|8|9017979109|30|0470d446a4514dfe0c6ad0be92853bd13287::aux:011|0|1786166893663650048|114,0470d446a4514dfe0c6ad0be92853bd13287,0470d446a4514dfe0c6ad0be92853bd13287,402,,0470d446a4514dfe0c6ad0be92853bd13287,root,0470d446a4514dfe0c6ad0be92853bd13287|402|-1,30,0,1786166893663650048,1786166893671490048,1786166896969543936,1101.485433,10.446781995260663,3305.756434,212.0,worker_8a32eb3d,1000d368-25f0-4413-abed-14cbfc4fb25a,True,root,3,4,4,0,5,4
31235207041|8|9017979109|27|006c98de37d819e95b0840e25426bb7ca99d|15|1786166893663293952|115,006c98de37d819e95b0840e25426bb7ca99d,006c98de37d819e95b0840e25426bb7ca99d,15,,006c98de37d819e95b0840e25426bb7ca99d,root,006c98de37d819e95b0840e25426bb7ca99d|15|-1,27,15,1786166893663293952,1786166893969681920,1786166897926655488,1024.365308,12.895466747999999,4248.231995,251.0,worker_4c4f3206,f20b8a75-8bdd-4eb8-8fab-37367980f409,True,root,2,3,3,0,4,3
31235207041|8|9017979109|24|05f72f78a037cfa5cd4e4541960a574701d9|11|1786166880505946880|116,05f72f78a037cfa5cd4e4541960a574701d9,05f72f78a037cfa5cd4e4541960a574701d9,11,,05f72f78a037cfa5cd4e4541960a574701d9,root,05f72f78a037cfa5cd4e4541960a574701d9|11|-1,24,11,1786166880505946880,1786166880705686272,1786166902783300096,794.427204,10.348147006743737,22277.180389999998,2077.0,worker_6e24a6ae,fc0975b5-9b88-499e-8738-5c6f50b0890e,True,root,1,2,2,0,5,4
31235207041|8|9017979109|32|03e110ac6921c2fe9ac7772a9654314a2beb|30|1786166900855999744|117,03e110ac6921c2fe9ac7772a9654314a2beb,03e110ac6921c2fe9ac7772a9654314a2beb,35,,03e110ac6921c2fe9ac7772a9654314a2beb,root,03e110ac6921c2fe9ac7772a9654314a2beb|35|-1,32,30,1786166900855999744,1786166901850785280,1786166904282310400,3426.1308689999996,,3426.1308689999996,1.0,worker_e00f4dfb,f05da05a-5bee-4f58-9dea-1a28c8a0073e,True,root,4,5,5,0,5,4
