component,worker_id,phase_second_bin,timeslice_start_ns,timeslice_end_ns,running_requests,waiting_requests,decode_prealloc_queue_requests,decode_transfer_queue_requests,reconstruction_method,validation_status
decode,694d9fdfb4d8ee18,64,1786166657657379419,1786166658657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,65,1786166658657379419,1786166659657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,66,1786166659657379419,1786166660657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,67,1786166660657379419,1786166661657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,68,1786166661657379419,1786166662657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,69,1786166662657379419,1786166663657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,70,1786166663657379419,1786166664657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,71,1786166664657379419,1786166665657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,72,1786166665657379419,1786166666657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,73,1786166666657379419,1786166667657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,74,1786166667657379419,1786166668657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,75,1786166668657379419,1786166669657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,76,1786166669657379419,1786166670657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,77,1786166670657379419,1786166671657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,78,1786166671657379419,1786166672657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,79,1786166672657379419,1786166673657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,80,1786166673657379419,1786166674657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,81,1786166674657379419,1786166675657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,82,1786166675657379419,1786166676657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,83,1786166676657379419,1786166677657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,84,1786166677657379419,1786166678657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,85,1786166678657379419,1786166679657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,86,1786166679657379419,1786166680657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,87,1786166680657379419,1786166681657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,88,1786166681657379419,1786166682657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,89,1786166682657379419,1786166683657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,90,1786166683657379419,1786166684657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,91,1786166684657379419,1786166685657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,92,1786166685657379419,1786166686657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,93,1786166686657379419,1786166687657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,94,1786166687657379419,1786166688657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,95,1786166688657379419,1786166689657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,96,1786166689657379419,1786166690657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,97,1786166690657379419,1786166691657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
