root_trace_id,concurrency,source_models,distinct_replay_instances,session_num_group_count,session_num_unique_row_rate,replay_instance_identity_status,profiled_request_count,root_request_count,subagent_request_count,unknown_branch_request_count,replay_root_request_count,replay_nonroot_branch_request_count,replay_unknown_branch_request_count,source_origin_root_request_count,source_origin_subagent_request_count,source_origin_unknown_branch_request_count,distinct_branch_count,total_input_tokens,total_output_tokens,median_input_tokens,p90_input_tokens,median_output_tokens,median_ttft_ms,p75_ttft_ms,p90_ttft_ms,p95_ttft_ms,median_itl_ms,p90_itl_ms,median_e2e_ms,p90_e2e_ms,median_observed_itl_implied_tps,token_weighted_itl_ms,median_post_ttft_tps,wall_span_s,wall_clock_output_rate,total_h200_wall_time_s,error_count,cancellation_count,sample_quality_flag,source_request_count_total,source_subagent_count,source_total_input_tokens,source_total_output_tokens,source_recorded_span_s,source_max_input_tokens,source_max_output_tokens,rank_metric,rank
03e110ac6921c2fe9ac7772a9654314a2beb,7,"[""claude-fable-5"",""claude-opus-4-6""]",30,30,1.0,unvalidated_session_num_group,30,12,18,0,12,18,0,12,18,0,4,673339.0,12582.0,30669.0,46009.6,171.0,179185.71914099998,229730.633639,286727.1190248,331826.44971439993,31.571972210724198,38.34274198473818,195372.6353655,286727.1190248,31.67657145985349,32.50392248741236,31.67657145985349,3610.546238986,3.4847912662471754,6027.463761371001,0,0,session_num_unique_per_profiled_row,107,7,11843328,169943,3465.445,315648,26571,p90_ttft_ms,11
002001296e8a8c38ad9d7cc436d691afc602,7,"[""claude-haiku-4-5-20251001"",""claude-opus-4-8""]",17,17,1.0,unvalidated_session_num_group,17,11,6,0,11,6,0,11,6,0,2,544205.0,8507.0,1.0,127143.0,1.0,209387.76997599998,279228.166783,285654.21193499997,306246.46570019994,32.37955409212132,34.541720924863014,209387.76997599998,318937.1270844,30.883686919701244,33.254610989752656,30.883686919701248,3391.52902777,2.5083081790968857,3582.0263704869994,0,0,session_num_unique_per_profiled_row,198,4,36279360,185265,201709.09,396224,8261,p90_ttft_ms,12
0470d446a4514dfe0c6ad0be92853bd13287,8,"[""claude-fable-5"",""claude-haiku-4-5-20251001"",""claude-opus-4-6"",""claude-opus-4-8""]",84,84,1.0,unvalidated_session_num_group,84,0,84,0,0,84,0,17,67,0,7,5178223.0,35880.0,57681.0,100008.8,226.0,211108.90094649998,257619.59723525,284506.2559031,296247.0897792,30.49574209738114,33.21234334778529,221964.953937,300428.7555522,32.791469479440195,30.40965168862442,32.79146947944017,3556.9156031,10.08739143788767,17665.773254997,0,0,session_num_unique_per_profiled_row,795,7,185660800,813395,145463.832,769344,10438,p90_ttft_ms,13
0470d446a4514dfe0c6ad0be92853bd13287,7,"[""claude-fable-5"",""claude-haiku-4-5-20251001"",""claude-opus-4-6"",""claude-opus-4-8""]",88,88,1.0,unvalidated_session_num_group,88,0,88,0,0,88,0,16,72,0,7,5388444.0,37554.0,58704.0,99286.8,224.5,185939.511121,240451.46472524997,280403.1641752,291109.0307229,30.831595600294147,33.84049057152777,194710.897363,294003.9322334,32.43426790731368,31.01886457345326,32.434267907313746,3607.299152536,10.410558817557126,17481.184622713998,0,0,session_num_unique_per_profiled_row,795,7,185660800,813395,145463.832,769344,10438,p90_ttft_ms,14
006c98de37d819e95b0840e25426bb7ca99d,7,"[""claude-opus-4-8""]",13,13,1.0,unvalidated_session_num_group,13,13,0,0,13,0,0,13,0,0,1,1467610.0,10462.0,112056.0,120048.0,774.0,189982.596053,248383.802933,278793.2584778,290251.27375819994,30.77239883394834,37.08712689020052,211528.597695,300816.622426,32.496654076145425,31.04193825734519,32.496654076145404,2882.164137703,3.62991124035632,2864.238663474,0,0,session_num_unique_per_profiled_row,33,0,2908416,21607,5340.127,120320,4045,p90_ttft_ms,15
0196085d85d2075a50b74cd8795ffbdcea9a,6,"[""claude-opus-4-7"",""claude-opus-4-8""]",17,17,1.0,unvalidated_session_num_group,17,17,0,0,17,0,0,17,0,0,1,17.0,17.0,1.0,1.0,1.0,206488.526954,242242.166352,276934.0865038,290425.0890228,,,206488.526954,276934.0865038,,,,3512.55312625,0.004839784449936332,3475.50351252,0,0,session_num_unique_per_profiled_row,233,3,92015424,585641,17764.261,682304,17710,p90_ttft_ms,16
05f72f78a037cfa5cd4e4541960a574701d9,8,"[""claude-opus-4-8""]",10,10,1.0,unvalidated_session_num_group,10,10,0,0,10,0,0,10,0,0,1,468815.0,3211.0,50585.5,57937.0,275.0,210185.4969945,231351.82879399997,276472.5448321,279707.57923554996,30.765823891494126,36.92916203421052,215927.991889,297350.0834113,32.536432205362885,30.606805393939393,32.53643220536292,2079.670576139,1.5439945330002038,2058.596929552,0,0,session_num_unique_per_profiled_row,52,0,4439232,43705,101467.569,122304,5550,p90_ttft_ms,17
04dba6fe621301a1d01fd63b8d02c9645c48,8,"[""claude-opus-4-8""]",3,3,1.0,unvalidated_session_num_group,3,3,0,0,3,0,0,3,0,0,1,228177.0,724.0,75332.0,77128.0,86.0,188649.396659,238263.544995,268032.0339966,277954.8636638,31.471704529411763,32.37341602117647,189184.415636,282844.1939064,31.774573857779256,30.079564287101245,31.774573857779274,540.983001907,1.3383045261086823,534.247061157,0,0,session_num_unique_per_profiled_row,25,1,688256,41795,4925.563,77568,5814,p90_ttft_ms,18
05c249572509162371b7b82339674db64b5d,8,"[""claude-opus-4-8""]",12,12,1.0,unvalidated_session_num_group,12,12,0,0,12,0,0,12,0,0,1,815530.0,7946.0,70631.5,83163.0,405.0,219904.64646949997,231252.87587825,254167.4520434,294645.75285304995,30.541673580889054,31.911437664680165,237175.45262549998,329469.7794743,32.74324727753914,31.218980157927902,32.74324727753917,2929.30029428,2.712593179851186,2910.657261808,0,0,session_num_unique_per_profiled_row,36,0,3899264,61035,73578.766,180544,18302,p90_ttft_ms,19
063179eb93f4337a662e859c5a2c5638e03f,8,"[""claude-haiku-4-5-20251001"",""claude-opus-4-8""]",3,3,1.0,unvalidated_session_num_group,3,1,2,0,1,2,0,3,0,0,3,40678.0,1250.0,2581.0,28929.0,21.0,240845.988388,243198.9580665,244610.7398736,245081.3338093,33.79507535,37.21897939,246227.829252,272040.46269119997,29.590110086853233,31.343250423416194,29.59011008685313,278.516425385,4.488065643784186,766.2676667869999,0,0,session_num_unique_per_profiled_row,73,1,4540992,36480,3720.591,113984,4186,p90_ttft_ms,20
0196085d85d2075a50b74cd8795ffbdcea9a,8,"[""claude-opus-4-7"",""claude-opus-4-8""]",11,11,1.0,unvalidated_session_num_group,11,11,0,0,11,0,0,11,0,0,1,11.0,11.0,1.0,1.0,1.0,309425.05368199997,335093.813524,343078.316971,356701.8726145,,,309425.05368199997,343078.316971,,,,3430.315569392,0.0032067020591780935,3409.523843573,0,0,session_num_unique_per_profiled_row,233,3,92015424,585641,17764.261,682304,17710,median_e2e_ms,1
0196085d85d2075a50b74cd8795ffbdcea9a,7,"[""claude-opus-4-7"",""claude-opus-4-8""]",12,12,1.0,unvalidated_session_num_group,12,12,0,0,12,0,0,12,0,0,1,12.0,12.0,1.0,1.0,1.0,289554.5308125,336466.685862,385830.59298960003,396279.61689804995,,,289554.5308125,385830.59298960003,,,,3492.695623882,0.003435741699891516,3468.717000602,0,0,session_num_unique_per_profiled_row,233,3,92015424,585641,17764.261,682304,17710,median_e2e_ms,2
03e110ac6921c2fe9ac7772a9654314a2beb,8,"[""claude-fable-5"",""claude-opus-4-6""]",18,18,1.0,unvalidated_session_num_group,18,12,6,0,12,6,0,12,6,0,4,185549.0,4296.0,1.0,30816.6,1.0,271908.19333449996,308649.80249175,365606.01174910006,445009.19879865,31.28228454612528,32.00726087976864,287283.92278399994,365606.01174910006,31.969437305195584,30.649090417017298,31.96943730519556,3590.592488806,1.1964599194682137,4624.375658802,0,0,session_num_unique_per_profiled_row,107,7,11843328,169943,3465.445,315648,26571,median_e2e_ms,3
006c98de37d819e95b0840e25426bb7ca99d,8,"[""claude-opus-4-8""]",13,13,1.0,unvalidated_session_num_group,13,13,0,0,13,0,0,13,0,0,1,1467636.0,10462.0,112058.0,120050.0,774.0,236222.46362,283217.147467,309979.5313706,349587.8445055999,30.62997891979301,33.29904914436765,265357.847123,385854.52254700003,32.647753451563844,30.58818139372189,32.647753451563865,3285.519746558,3.1842754897334817,3267.5887073260005,0,0,session_num_unique_per_profiled_row,33,0,2908416,21607,5340.127,120320,4045,median_e2e_ms,4
002001296e8a8c38ad9d7cc436d691afc602,8,"[""claude-haiku-4-5-20251001"",""claude-opus-4-8""]",15,15,1.0,unvalidated_session_num_group,15,9,6,0,9,6,0,9,6,0,2,544209.0,8505.0,1.0,129038.0,1.0,249645.09415,294474.08022899996,300591.6013944,301904.3320736,30.7012315865137,32.42330592098662,258082.74023999998,311284.5445756,32.57208164727865,30.92158438480565,32.572081647278665,3325.573219203,2.5574538401046816,3558.140554442001,0,0,session_num_unique_per_profiled_row,198,4,36279360,185265,201709.09,396224,8261,median_e2e_ms,5
