root_trace_id,concurrency,source_models,distinct_replay_instances,session_num_group_count,session_num_unique_row_rate,replay_instance_identity_status,profiled_request_count,root_request_count,subagent_request_count,unknown_branch_request_count,replay_root_request_count,replay_nonroot_branch_request_count,replay_unknown_branch_request_count,source_origin_root_request_count,source_origin_subagent_request_count,source_origin_unknown_branch_request_count,distinct_branch_count,total_input_tokens,total_output_tokens,median_input_tokens,p90_input_tokens,median_output_tokens,median_ttft_ms,p75_ttft_ms,p90_ttft_ms,p95_ttft_ms,median_itl_ms,p90_itl_ms,median_e2e_ms,p90_e2e_ms,median_observed_itl_implied_tps,token_weighted_itl_ms,median_post_ttft_tps,wall_span_s,wall_clock_output_rate,total_h200_wall_time_s,error_count,cancellation_count,sample_quality_flag,source_request_count_total,source_subagent_count,source_total_input_tokens,source_total_output_tokens,source_recorded_span_s,source_max_input_tokens,source_max_output_tokens,rank_metric,rank
03e110ac6921c2fe9ac7772a9654314a2beb,3,"[""claude-fable-5"",""claude-opus-4-6""]",42,42,1.0,unvalidated_session_num_group,42,4,38,0,4,38,0,4,38,0,4,2201242.0,38371.0,52825.5,82932.5,286.0,5284.9023175,26931.26531625,60439.222382099986,65369.69542614999,29.465227999379906,41.030355164160255,30176.559623999998,86839.3415498,33.9383085808957,29.256818637715565,33.938308580895686,1636.222342767,23.450969343879734,1892.1480753709998,0,0,session_num_unique_per_profiled_row,107,7,11843328,169943,3465.445,315648,26571,total_input_tokens,11
02bc0afb13f7a2d9efa86c28511261d85c0e,6,"[""claude-haiku-4-5-20251001"",""claude-opus-4-8""]",59,59,1.0,unvalidated_session_num_group,59,0,59,0,0,59,0,19,40,0,3,2148999.0,13385.0,41728.0,75813.0,96.0,153820.622229,197507.85908099997,223446.739193,226409.8034209,30.72500340756034,35.66342891152174,159695.779112,226235.5560964,32.54680606570558,31.341345021761963,32.54680606570561,3625.021494192,3.6923918993157456,9157.613912965999,0,0,session_num_unique_per_profiled_row,466,7,85859456,407324,219154.669,518464,10180,total_input_tokens,12
0470d446a4514dfe0c6ad0be92853bd13287,5,"[""claude-fable-5"",""claude-haiku-4-5-20251001"",""claude-opus-4-6"",""claude-opus-4-8""]",24,24,1.0,unvalidated_session_num_group,24,24,0,0,24,0,0,24,0,0,1,2058884.0,21099.0,94800.0,115566.2,659.0,44535.927047,103453.98613024999,136924.0174549,161362.65890129993,31.78305321518632,35.0568240152264,81568.7454785,190208.47409229996,31.463442516930876,31.956618063724793,31.463442516930876,2153.236524101,9.798737743782729,2138.5331010180003,0,0,session_num_unique_per_profiled_row,795,7,185660800,813395,145463.832,769344,10438,total_input_tokens,13
03e110ac6921c2fe9ac7772a9654314a2beb,5,"[""claude-fable-5"",""claude-opus-4-6""]",29,29,1.0,unvalidated_session_num_group,29,6,23,0,6,23,0,6,23,0,5,1887420.0,44744.0,77687.0,89523.2,370.0,94602.878249,137688.40824299998,192615.2558088,217647.21354379997,30.70929830645161,32.19325889597538,137716.182627,240479.7711784,32.56342720764523,30.66557720630661,32.563427207645184,3152.278231638,14.19417853123642,4468.71436025,0,0,session_num_unique_per_profiled_row,107,7,11843328,169943,3465.445,315648,26571,total_input_tokens,14
02bc0afb13f7a2d9efa86c28511261d85c0e,7,"[""claude-haiku-4-5-20251001"",""claude-opus-4-8""]",46,46,1.0,unvalidated_session_num_group,46,0,46,0,0,46,0,13,33,0,3,1743306.0,12605.0,40574.5,77195.0,99.0,206869.5531265,249132.46531675,308725.11498199997,325640.4271635,31.338926857142855,35.34565812649908,210586.79929199998,321534.6638475,31.909197291868253,33.22222067043554,31.909197291868274,3602.972726965,3.4984999763286986,10156.012198798002,0,0,session_num_unique_per_profiled_row,466,7,85859456,407324,219154.669,518464,10180,total_input_tokens,15
02bc0afb13f7a2d9efa86c28511261d85c0e,8,"[""claude-haiku-4-5-20251001"",""claude-opus-4-8""]",43,43,1.0,unvalidated_session_num_group,43,0,43,0,0,43,0,13,30,0,3,1565489.0,12326.0,36278.0,77561.0,99.0,239140.13206,275951.8729535,318628.1540094,341707.64882059995,30.968213022383253,33.66208816897997,242462.37939,326510.90283780004,32.291402261720194,31.536960349100386,32.291402261720236,3526.27033951,3.495477888321173,10362.253644356997,0,0,session_num_unique_per_profiled_row,466,7,85859456,407324,219154.669,518464,10180,total_input_tokens,16
006c98de37d819e95b0840e25426bb7ca99d,8,"[""claude-opus-4-8""]",13,13,1.0,unvalidated_session_num_group,13,13,0,0,13,0,0,13,0,0,1,1467636.0,10462.0,112058.0,120050.0,774.0,236222.46362,283217.147467,309979.5313706,349587.8445055999,30.62997891979301,33.29904914436765,265357.847123,385854.52254700003,32.647753451563844,30.58818139372189,32.647753451563865,3285.519746558,3.1842754897334817,3267.5887073260005,0,0,session_num_unique_per_profiled_row,33,0,2908416,21607,5340.127,120320,4045,total_input_tokens,17
006c98de37d819e95b0840e25426bb7ca99d,7,"[""claude-opus-4-8""]",13,13,1.0,unvalidated_session_num_group,13,13,0,0,13,0,0,13,0,0,1,1467610.0,10462.0,112056.0,120048.0,774.0,189982.596053,248383.802933,278793.2584778,290251.27375819994,30.77239883394834,37.08712689020052,211528.597695,300816.622426,32.496654076145425,31.04193825734519,32.496654076145404,2882.164137703,3.62991124035632,2864.238663474,0,0,session_num_unique_per_profiled_row,33,0,2908416,21607,5340.127,120320,4045,total_input_tokens,18
05c249572509162371b7b82339674db64b5d,3,"[""claude-opus-4-8""]",21,21,1.0,unvalidated_session_num_group,21,19,2,0,19,2,0,21,0,0,3,1403225.0,17870.0,70732.0,84818.0,586.0,1269.670908,1647.378569,4703.805803,8245.268511,31.15956198523985,33.58490302137998,19132.802042,82265.873845,32.09287731559563,31.84402273309429,32.09287731559563,585.84502592,30.50294738260735,665.349098172,0,0,session_num_unique_per_profiled_row,36,0,3899264,61035,73578.766,180544,18302,total_input_tokens,19
05c249572509162371b7b82339674db64b5d,4,"[""claude-opus-4-8""]",21,21,1.0,unvalidated_session_num_group,21,19,2,0,19,2,0,21,0,0,3,1403183.0,17870.0,70730.0,84816.0,586.0,1078.0483179999999,1305.933542,3141.988738,4642.670011,33.91080736162361,36.949077933935015,20397.09909,78720.14573199999,29.48912390483767,34.797282249257655,29.48912390483767,563.605290507,31.70658668573668,655.2139363590001,0,0,session_num_unique_per_profiled_row,36,0,3899264,61035,73578.766,180544,18302,total_input_tokens,20
02bc0afb13f7a2d9efa86c28511261d85c0e,1,"[""claude-haiku-4-5-20251001"",""claude-opus-4-8""]",265,265,1.0,unvalidated_session_num_group,265,13,252,0,13,252,0,110,155,0,15,11048194.0,123157.0,31844.0,81131.79999999999,106.0,1045.5975839999999,1438.253463,2052.6315664,2820.4888034,30.23848863861386,32.011520870197984,4091.285528,19216.601277599995,33.0704493131655,30.260374726890277,33.0704493131655,2797.741852782,44.02014427368842,4095.4245072739996,0,0,session_num_unique_per_profiled_row,466,7,85859456,407324,219154.669,518464,10180,total_output_tokens,1
02bc0afb13f7a2d9efa86c28511261d85c0e,4,"[""claude-haiku-4-5-20251001"",""claude-opus-4-8""]",108,108,1.0,unvalidated_session_num_group,108,5,103,0,5,103,0,27,81,0,10,6495871.0,91153.0,59811.0,137454.5,118.0,3806.7476975,34158.118497749994,61829.86982439999,68768.81644909999,33.67364311965812,37.982778287699816,18427.41323,131231.12108299998,29.696816481855997,33.8378116676918,29.696816481855997,3570.57449121,25.528945054752235,5211.856701730999,0,0,session_num_unique_per_profiled_row,466,7,85859456,407324,219154.669,518464,10180,total_output_tokens,2
03e110ac6921c2fe9ac7772a9654314a2beb,2,"[""claude-fable-5"",""claude-opus-4-6""]",86,86,1.0,unvalidated_session_num_group,86,37,49,0,37,49,0,38,48,0,9,4049984.0,83665.0,40341.0,97476.0,248.0,1256.140018,2861.9138165,4504.0148255,5994.318721999999,32.20961096704871,34.582352060053665,10327.094021500001,108288.07132999999,31.046633907594433,31.831758346486563,31.046633907594433,1986.312198825,42.1207703650473,2992.069693392,0,0,session_num_unique_per_profiled_row,107,7,11843328,169943,3465.445,315648,26571,total_output_tokens,3
03e110ac6921c2fe9ac7772a9654314a2beb,5,"[""claude-fable-5"",""claude-opus-4-6""]",29,29,1.0,unvalidated_session_num_group,29,6,23,0,6,23,0,6,23,0,5,1887420.0,44744.0,77687.0,89523.2,370.0,94602.878249,137688.40824299998,192615.2558088,217647.21354379997,30.70929830645161,32.19325889597538,137716.182627,240479.7711784,32.56342720764523,30.66557720630661,32.563427207645184,3152.278231638,14.19417853123642,4468.71436025,0,0,session_num_unique_per_profiled_row,107,7,11843328,169943,3465.445,315648,26571,total_output_tokens,4
03e110ac6921c2fe9ac7772a9654314a2beb,4,"[""claude-fable-5"",""claude-opus-4-6""]",73,73,1.0,unvalidated_session_num_group,73,31,42,0,31,42,0,32,41,0,5,2985634.0,42949.0,33241.0,83778.0,157.0,36498.341760999996,67148.146223,85205.5010852,88524.21308219999,32.063225223252935,38.752160541561494,52322.703198999996,110514.17148059998,31.188378369209676,32.972537020267744,31.188378369209676,3251.1987267,13.210204484668237,4305.190092264001,0,0,session_num_unique_per_profiled_row,107,7,11843328,169943,3465.445,315648,26571,total_output_tokens,5
