root_trace_id,concurrency,baseline_concurrency,baseline_available_at_conc1,profiled_request_count,baseline_profiled_request_count,total_input_tokens,baseline_total_input_tokens,total_output_tokens,baseline_total_output_tokens,median_ttft_ms,baseline_median_ttft_ms,median_itl_ms,baseline_median_itl_ms,median_e2e_ms,baseline_median_e2e_ms,wall_clock_output_rate,baseline_wall_clock_output_rate,ttft_ratio,itl_ratio,e2e_ratio,wall_clock_output_rate_ratio,request_coverage_ratio,input_token_coverage_ratio,output_token_coverage_ratio,coverage_comparable
0196085d85d2075a50b74cd8795ffbdcea9a,3,1,True,107.0,90.0,639873.0,639856.0,4122.0,4105.0,3100.305765,3031.4045515,29.824580952170063,29.444962318394023,3100.305765,3088.825393,2.104624689033005,5.170035594336273,1.0227291383678587,1.0128924815617406,1.003716743596455,0.40708127644974096,1.1888888888888889,1.0000265684779075,1.0041412911084044,True
0196085d85d2075a50b74cd8795ffbdcea9a,4,1,True,59.0,90.0,639825.0,639856.0,4074.0,4105.0,12517.814059,3031.4045515,33.83607094871795,29.444962318394023,17796.664845,3088.825393,1.6463781406032179,5.170035594336273,4.129377602473393,1.1491293683055877,5.761628638941974,0.31844619066197727,0.6555555555555556,0.9999515515991098,0.9924482338611449,False
0196085d85d2075a50b74cd8795ffbdcea9a,5,1,True,48.0,90.0,119415.0,639856.0,931.0,4105.0,3643.317129,3031.4045515,32.02536336806342,29.444962318394023,3643.317129,3088.825393,0.2665085388284141,5.170035594336273,1.201857774871128,1.0876347207297135,1.1795154032521902,0.05154868549074822,0.5333333333333333,0.18662792878397638,0.22679658952496956,False
0196085d85d2075a50b74cd8795ffbdcea9a,6,1,True,17.0,90.0,17.0,639856.0,17.0,4105.0,206488.526954,3031.4045515,,29.444962318394023,206488.526954,3088.825393,0.004839784449936332,5.170035594336273,68.11645342810657,,66.85017787730936,0.0009361220752983348,0.18888888888888888,2.6568477907529194e-05,0.0041412911084043845,False
0196085d85d2075a50b74cd8795ffbdcea9a,7,1,True,12.0,90.0,12.0,639856.0,12.0,4105.0,289554.5308125,3031.4045515,,29.444962318394023,289554.5308125,3088.825393,0.003435741699891516,5.170035594336273,95.51827408493617,,93.742602436738,0.0006645489450121658,0.13333333333333333,1.8754219699432373e-05,0.00292326431181486,False
0196085d85d2075a50b74cd8795ffbdcea9a,8,1,True,11.0,90.0,11.0,639856.0,11.0,4105.0,309425.05368199997,3031.4045515,,29.444962318394023,309425.05368199997,3088.825393,0.0032067020591780935,5.170035594336273,102.07316391634045,,100.17563776289505,0.0006202475786996527,0.12222222222222222,1.719136805781301e-05,0.002679658952496955,False
02bc0afb13f7a2d9efa86c28511261d85c0e,1,1,True,265.0,265.0,11048194.0,11048194.0,123157.0,123157.0,1045.5975839999999,1045.5975839999999,30.23848863861386,30.23848863861386,4091.285528,4091.285528,44.02014427368842,44.02014427368842,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
02bc0afb13f7a2d9efa86c28511261d85c0e,2,1,True,177.0,265.0,150818.0,11048194.0,2663.0,123157.0,2173.7533989999997,1045.5975839999999,29.078762231099656,30.23848863861386,2189.818484,4091.285528,1.1123453018131881,44.02014427368842,2.078957939711536,0.9616473421878216,0.5352397110916087,0.025269006273522267,0.6679245283018868,0.013650918874161696,0.021622806661415916,False
02bc0afb13f7a2d9efa86c28511261d85c0e,3,1,True,188.0,265.0,158338.0,11048194.0,2756.0,123157.0,2343.9353295,1045.5975839999999,32.3050345260989,30.23848863861386,2369.1291785,4091.285528,0.9015393320600666,44.02014427368842,2.241718387042486,1.0683415732903432,0.5790671812774051,0.020480153959852688,0.7094339622641509,0.01433157310597551,0.022377940352558117,False
02bc0afb13f7a2d9efa86c28511261d85c0e,4,1,True,108.0,265.0,6495871.0,11048194.0,91153.0,123157.0,3806.7476975,1045.5975839999999,33.67364311965812,30.23848863861386,18427.41323,4091.285528,25.528945054752235,44.02014427368842,3.640738804059823,1.1136020560451438,4.50406433476378,0.5799377870283654,0.4075471698113208,0.5879577241312018,0.7401365736417743,False
02bc0afb13f7a2d9efa86c28511261d85c0e,5,1,True,110.0,265.0,3740784.0,11048194.0,24440.0,123157.0,30759.921371999997,1045.5975839999999,33.210020332289716,30.23848863861386,35297.433625,4091.285528,6.782899946126754,44.02014427368842,29.418508461281984,1.0982698483773186,8.627467670841085,0.1540862725018602,0.41509433962264153,0.3385878271145492,0.19844588614532668,False
02bc0afb13f7a2d9efa86c28511261d85c0e,6,1,True,59.0,265.0,2148999.0,11048194.0,13385.0,123157.0,153820.622229,1045.5975839999999,30.72500340756034,30.23848863861386,159695.779112,4091.285528,3.6923918993157456,44.02014427368842,147.11264121379227,1.0160892554770484,39.03315425410221,0.0838795955860315,0.22264150943396227,0.19451133823319902,0.1086824135047135,False
02bc0afb13f7a2d9efa86c28511261d85c0e,7,1,True,46.0,265.0,1743306.0,11048194.0,12605.0,123157.0,206869.5531265,1045.5975839999999,31.338926857142855,30.23848863861386,210586.79929199998,4091.285528,3.4984999763286986,44.02014427368842,197.84815524831973,1.0363919715591792,51.47203680867125,0.0794749775143243,0.17358490566037735,0.15779103806468278,0.10234903415964988,False
02bc0afb13f7a2d9efa86c28511261d85c0e,8,1,True,43.0,265.0,1565489.0,11048194.0,12326.0,123157.0,239140.13206,1045.5975839999999,30.968213022383253,30.23848863861386,242462.37939,4091.285528,3.495477888321173,44.02014427368842,228.71144283363228,1.0241323034524137,59.26312835675545,0.07940632512670974,0.16226415094339622,0.14169637137074167,0.10008363308622327,False
03e110ac6921c2fe9ac7772a9654314a2beb,2,2,False,86.0,86.0,4049984.0,4049984.0,83665.0,83665.0,1256.140018,1256.140018,32.20961096704871,32.20961096704871,10327.094021500001,10327.094021500001,42.1207703650473,42.1207703650473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
03e110ac6921c2fe9ac7772a9654314a2beb,3,2,False,42.0,86.0,2201242.0,4049984.0,38371.0,83665.0,5284.9023175,1256.140018,29.465227999379906,32.20961096704871,30176.559623999998,10327.094021500001,23.450969343879734,42.1207703650473,4.207255753156015,0.914796146700549,2.9220765842913163,0.5567554710096148,0.4883720930232558,0.5435186904442092,0.458626665869838,False
03e110ac6921c2fe9ac7772a9654314a2beb,4,2,False,73.0,86.0,2985634.0,4049984.0,42949.0,83665.0,36498.341760999996,1256.140018,32.063225223252935,32.20961096704871,52322.703198999996,10327.094021500001,13.210204484668237,42.1207703650473,29.055950163192712,0.9954552154030817,5.066546609343271,0.31362684894363524,0.8488372093023255,0.737196492628119,0.5133448873483536,False
03e110ac6921c2fe9ac7772a9654314a2beb,5,2,False,29.0,86.0,1887420.0,4049984.0,44744.0,83665.0,94602.878249,1256.140018,30.70929830645161,32.20961096704871,137716.182627,10327.094021500001,14.19417853123642,42.1207703650473,75.31236716717675,0.9534203420795129,13.335424499892067,0.3369876288638597,0.3372093023255814,0.46603147074161283,0.5347994979979681,False
03e110ac6921c2fe9ac7772a9654314a2beb,6,2,False,37.0,86.0,1029143.0,4049984.0,25119.0,83665.0,102119.774318,1256.140018,33.00125551480051,32.20961096704871,135321.454989,10327.094021500001,7.068499230907431,42.1207703650473,81.29648992521787,1.0245778984589933,13.103536649058674,0.16781505109348666,0.43023255813953487,0.25411038660893476,0.3002330723719596,False
03e110ac6921c2fe9ac7772a9654314a2beb,7,2,False,30.0,86.0,673339.0,4049984.0,12582.0,83665.0,179185.71914099998,1256.140018,31.571972210724198,32.20961096704871,195372.6353655,10327.094021500001,3.4847912662471754,42.1207703650473,142.6478868385196,0.980203462967099,18.91845227309379,0.08273332220768043,0.3488372093023256,0.16625720002844455,0.15038546584593318,False
03e110ac6921c2fe9ac7772a9654314a2beb,8,2,False,18.0,86.0,185549.0,4049984.0,4296.0,83665.0,271908.19333449996,1256.140018,31.28228454612528,32.20961096704871,287283.92278399994,10327.094021500001,1.1964599194682137,42.1207703650473,216.46328390001182,0.9712096360967504,27.818466858721617,0.02840546146470914,0.20930232558139536,0.04581474889777342,0.051347636407099745,False
0470d446a4514dfe0c6ad0be92853bd13287,2,2,False,44.0,44.0,4562441.0,4562441.0,35107.0,35107.0,1032.3949049999999,1032.3949049999999,31.86504210567822,31.86504210567822,19310.584450000002,19310.584450000002,29.128141168646223,29.128141168646223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
0470d446a4514dfe0c6ad0be92853bd13287,3,2,False,50.0,44.0,5395187.0,4562441.0,40009.0,35107.0,1117.1301265,1032.3949049999999,31.389678528744724,31.86504210567822,27745.196907999998,19310.584450000002,20.14990848619854,29.128141168646223,1.0820763654388628,0.9850819724211571,1.4367870107628977,0.6917677434181098,1.1363636363636365,1.1825220315177774,1.139630273164896,True
0470d446a4514dfe0c6ad0be92853bd13287,4,2,False,46.0,44.0,4831144.0,4562441.0,36162.0,35107.0,1125.8721845,1032.3949049999999,34.548414688336834,31.86504210567822,25321.45723,19310.584450000002,24.907924558611345,29.128141168646223,1.0905441116062076,1.0842105456430715,1.3112734777947126,0.8551154848639104,1.0454545454545454,1.058894569814711,1.030050986982653,True
0470d446a4514dfe0c6ad0be92853bd13287,5,2,False,24.0,44.0,2058884.0,4562441.0,21099.0,35107.0,44535.927047,1032.3949049999999,31.78305321518632,31.86504210567822,81568.7454785,19310.584450000002,9.798737743782729,29.128141168646223,43.1384607104391,0.9974269956957851,4.224043331764617,0.33640106613909754,0.5454545454545454,0.45126808215163766,0.6009912553052098,False
0470d446a4514dfe0c6ad0be92853bd13287,6,2,False,18.0,44.0,1381577.0,4562441.0,13063.0,35107.0,113192.8565615,1032.3949049999999,32.5968085747693,31.86504210567822,132554.5998115,19310.584450000002,5.4757238585996815,29.128141168646223,109.64104531443809,1.0229645536530039,6.8643494532605915,0.18798741144847914,0.4090909090909091,0.30281531311856963,0.37209103597573134,False
0470d446a4514dfe0c6ad0be92853bd13287,7,2,False,88.0,44.0,5388444.0,4562441.0,37554.0,35107.0,185939.511121,1032.3949049999999,30.831595600294147,31.86504210567822,194710.897363,19310.584450000002,10.410558817557126,29.128141168646223,180.1050259164152,0.967568016952348,10.083117777566798,0.35740553292714533,2.0,1.1810440945976068,1.0697011991910446,False
0470d446a4514dfe0c6ad0be92853bd13287,8,2,False,84.0,44.0,5178223.0,4562441.0,35880.0,35107.0,211108.90094649998,1032.3949049999999,30.49574209738114,31.86504210567822,221964.953937,19310.584450000002,10.08739143788767,29.128141168646223,204.48464044531488,0.957028143764697,11.494471050926684,0.3463108538057287,1.9090909090909092,1.1349676631434795,1.0220184008887117,False
